PANORAMA,Genel görünüm
KALİTE,Nitelik
SADAKAT,İçten bağlılık
COĞRAFYA,Bir yeryüzü parçasını; bir bölgeyi; bir ülkeyi belirleyen; niteleyen; fiziki; ekonomik; beşeri; siyasi gerçekliklerin tümü
UR,Neoplâzma
ATAOL,“... Behramoğlu” (Şair; yazar)
RASTIK,Kadınların kaşlarını veya saçlarını boyamak için sürdükleri siyah boya
KELİK,Eski ayakkabı
UZO,Yunan rakısı
IRAK,Ortadoğuda bir ülke
RİMİNİ,İtalyada bir kent
AT,Satranç oyununda; ‘L çizerek hareket eden taş
ZAR,Bir kumar aracı
AY,Yılın on iki bölümünden her biri
İMLA,Yazım
CURCUNA,Alaturka müzikte hızlı bir usul
ORA,O yer
TA,Tantal elementinin simgesi
SKOR,Müsabakanın sonucu
RATE,Yaşlı; geçimsiz; verimsiz
İP,Kalın sicim
ATILIM,Hamle
FAKİRİZM,Hint dervişliği
YO,Hayır
KANAL,İki kıyı arasındaki dar ve derin deniz
ALİ,“... Sürmeli” (Aktör)
KİRA,İcar
YAZ,İlkbaharla sonbahar arasındaki mevsim
BÖRK,Hayvan postundan yapılan başlık
ANAKARA,Kıta
KARANFİL,Bir çiçek
UFKİ,Yatay
MARİA,“... Sharapova” (Tenisçi)
EK,İlave
İL,Vilayet
ULU,Yüce
ZA,Güney Afrikanın plakası
EKLEM,Mafsal
NO,Numara (Kısaca)
RAM,Boyun eğen
YAKAMOZ,Denizde balıkların veya küreklerin kımıldanışıyla oluşan parıltı
ANA,Valide
AN,En kısa zaman
ZARURİ,Mecburi; zorunlu
KAFİLE,Birlikte yolculuk eden topluluk
BANKA,Faizle para alıp veren; kredi; ıskonto; kambiyo işlemleri yapan; kasalarında para; değerli belge; eşya saklayan ve daha başka ekonomik etkinliklerde bulunan kuruluş
KR,Kripton (Simge)
ÖRFİ,Örfle ilgili
ULA,Muğlanın bir ilçesi
RAİ,Çoban
ELEM,Acı; üzüntü; keder
LOKUM,Bir tür şekerleme
RİYAZİYE,Matematik
EN,Hayvana veya eşyaya vurulan damga
YAŞAM,Hayat
AVM,Alış Veriş Merkezi (Kısa yazılışı)
BU,Bir işaret sıfatı
AYNA,Varlıkların görüntüsünü veren sırlı cam
MA,Su; ab
ALA,Karışık renkli
Nİ,Nikelin simgesi
İL,Vilayet
IRA,Karakter; seciye
ARKA,Geri; art; peş
AL,Aldatma işi; hile
OVA,Düz ve geniş arazi; yazı
RİNA,Tırpana balığı
REVANİ,Yumurta ve irmikle yapılan; fırında kabarıp piştikten sonra üzerine şerbet dökülen bir tür tatlı
İN,Mağara
LAV,Yanardağ ifrazatı
ANA,Valide; anne
RA,Radyum (Simgesi)
AYVALIK,Balıkesirin bir ilçesi
ZAM,Bir ürünün fiyatını artırma
ARAR,Dağservisi
İŞ,Çalışma
YABAN,İnsan yaşamayan ıssız yer
AN,En kısa zaman
EMU,Koşucu devekuşu
İMLA,Yazım
AKÜ,Akımtoplar
HOBİ,Düşkü; aşırı ölçüde uğraşı alanı
LÜNET,Gözlük camı
EŞ,Hayat arkadaşı
AL,Kızıl alev rengi
AZ,Yetersiz
GÜLSEREN,“... Akdaş” (“Küstüm Çiçeği” adlı kitabın yazarı; şair)
ÜSTELEME,Bir isteği; bir buyruğu tekrarlama; tekit
NT,Briçte sanzatunun kısaltması
NEKES,Cimri
ÜS,Harekâtın yürütülebilmesi için gerekli birliklerin; her türlü gereçlerin tamamlandığı; teçhizatın toplandığı; dağıtıldığı bölge
MALİ,Afrikada bir ülke
İRADE,İstenç
İL,Vilayet
ALAGÜN,Yazın güneş bulut arkasında kaldığında oluşan gölgeli durum
KÜLÜSTÜR,Yıpranmış; eski görünüşlü olan
ÜN,Şöhret
LT,Litrenin kısaltması
SA,Eski bir tahıl ölçeği
EKSEN,Mihver
HT,‘HABERTÜRKün kısaltması
ELEME,Elekten geçirme
AREKA,Bir palmiye türü
BEZEMELİ,Süslü; dekoratif
İŞ,Bir değer yaratan emek
NESİL,Jenerasyon


https://azvision.az/crossword.php?id=23
