ÜLEŞ,Pay; hisse
FOTOĞRAF,Çeşitli araç ve malzeme kullanarak görüntüyü özel bir yüzey üzerinde sabitleme
ELEM,Acı; üzüntü; dert; keder
ACİL,İvedi
ASİT,Hamız
HINIS,Erzurum’a bağlı bir ilçe
ARAZ,İlinek
ALTIGEN,Müseddes
SURET,Yazı veya resim kopyası; nüsha.
FERAHNAK,Klasik Türk müziğinde bir birleşik makam
OLASI,Muhtemel; mümkün
TEMİNAT,Güvence
TIRIS,Atın kısa adımlarla hızlı yürüyüşü
SAGU,Hint irmiği
RACA,Hindistan’da prenslere verilen unvan
ATİNA,Avrupa’da bir başkent
FİLİKA,Gemilerde bulundurulan cankurtaran sandalı
TEMA,Bir besteyi oluşturan temel motif; ana konu
MEŞİN,Sepilenmiş koyun derisi
ALIM,Gözü; gönlü çeken durum; cazibe
İKİZ,Bir doğumda olmuş iki kardeş
KORNA,Klakson
MARABA,Çiftçilikte; toprağı işleyerek ürüne ortak olan kimse
AŞİNA,Bildik; tanıdık
YELİN,İnek; manda; koyun gibi hayvanlarda memenin süt toplanan bölümü
IŞIK,Ziya; nur; şavk
İMİK,Boğaz; gırtlak; ümük
ZORBA,Gücüne güvenerek başkalarının hakkını alan; müstebit
MARUNİ,Lübnan ve Suriye'de oturan Katolik Süryanî topluluğu
ASIR,Yüzyıl
SERENAT,Geceleyin; açık havada sevgi duyulan biri için bir müzik aracıyla verilen küçük konser
RAYİHA,Koku; güzel koku
TARIM,Ziraat
ELEMAN,Bir toplulukta çalışan insanların her biri
YASA,Kanun
ANEMİK,(Hekimlikte) Kansız
SARIKAYA,Yozgat iline bağlı ilçelerden biri
EMARE,Belirti; ipucu
KESE,Kumaştan veya örgüden küçük torba
ELİT,Seçkin
NİHALE,Sofrada kullanılan; tencere; çaydanlık veya tava altlığı
AYARTMAK,Baştan çıkarmak; doğru yoldan saptırmak
BAKANAK,Geviş getiren hayvanların ayaklarının arkasındaki körelmiş tırnak; kemik çıkıntısı
İTENEK,Piston
AŞAMA,Evre; merhale
ENAR,Nar (Eski dil)
NARA,Külhanbeyi bağırtısı
KAMARA,Gemilerde oda
KARABAŞ,Çoban köpeği (Halk dili)
ASALAK,Tufeyli
ARAMA,Bulmaya çalışma
AKAR,Kiraya verilerek gelir getiren ev; dükkân; tarla; bağ gibi mülk
NEŞE,Üzüntüsü olmamaktan doğan; dışa vuran sevinç; şetaret
ANANE,Gelenek
KEMANE,Keman yayı
KARATAŞ,Adana’nın bir ilçesi
GERGEDAN,Sıcak ülkelerde yaşayan; burnunun üstünde bir veya iki boynuzu bulunan; kalın derili; saldırgan bir hayvan
AKARSU,Nehir; ırmak; dere vs
İKLİM,Ülke; diyar
İMİK,Gırtlak; boğaz; ümük
TESİS,Kurum; kuruluş
AMİK,Hatay ilinde bir ova
MART,Bir ay
GARNİTÜR,Et veya balık gibi asıl yemeğin yanına eklenen sebze; patates vb. yiyecekler
EKLEME,İlave etme; katma
MİSAL,Örnek olarak alınabilen; gösterilen şey; örnek
ESKİ,Yeni karşıtı
DULDA,Yağmur; güneş ve rüzgârın etkileyemediği gizli; kuytu yer; siper
İADE,Geri verme
SANTRAL,Telefonların bağlı olduğu merkez
AKAY,“Ezel ...” (Yönetmen; aktör)
NEFES,Alevi ve Bektaşilerin görüş ve düşüncelerini belirtmek için yazılmış şiir
EKTİ,Anası ölüp başka bir koyuna alıştırılan veya elle beslenen kuzu
RAST,Tesadüf
İDARE,Yönetim
ARIK,Fide dikilen yer
SANTRAL,Doğadaki başka enerji türlerini elektrik enerjisine çeviren kuruluş
AKAY,“Müşerref ...” (Şarkıcı)
NEFES,Soluk
EKTİ,Her yiyeceği canı çeken
RAST,Türk müziğinde bir makam
İDARE,Hoş görme; yetinme; göz yumma
ARIK,Eti; yağı erimiş; zayıf; cılız; kuru; sıska
YELKOVAN,Saatin iki ibresinden uzunu
SAKA,Ötücü bir kuş
RAKAM,Sayıları göstermekte kullanılan işaretlerin her biri
İSABET,Hedefi vurma
MANEN,Manevi yönden
TİTİZ,Temizliğe hastalık derecesinde düşkün olan kimse
DOLAY,Bir yeri saran başka yerlerin bütünü; civar
YARIMADA,Üç yanı denizle çevrili kara parçası
ANOT,Pozitif elektrot
LAKİN,Fakat; ama
ASETAT,Asetik asidin tuzu veya esteri
OSMANİYE,Bir ilimiz
AKDENİZ,Yurdumuzun güneyindeki deniz
TOZAN,Tozu çok olan yer
ADALE,Kas
BİLİŞİM,İnformatik
DİNÇ,Canlı; zinde
ABANA,Kastamonu’nun bir ilçesi
VİNTER,Ağaç çemberler üzerine örülmüş torba biçimindeki balık ağı
BARAKA,Tahta; çinko gibi şeylerden yapılmış; temelsiz eğreti yapı
HAKİ,Yeşile çalan toprak rengi
ABİDEVİ,Anıtsal
DİKİLİ,İzmir’in bir ilçesi
ALAN,Meydan
ÇATAK,İki dağ yamacının kesişmesi ile oluşmuş dere yatağı
BERİ,Konuşanın önündeki iki uzaklıktan kendisine daha yakın olanı
NARA,Külhanbeyi ya da sarhoş bağırması
İMKAN,Olanak
ARABAN,Gaziantep’in bir ilçesi
SAZAN,Bir tatlı su balığı
OZALİT,Yüzeyi ışığa karşı duyarlı bir madde ile kaplı kâğıt üzerine; kalıptan çekilmiş resim kopyası
HALA,Babanın kız kardeşi
YALAN,Doğru olmayan; gerçeğe uymayan söz; kıtır
KALİTE,Nitelik
LÖSEMİ,Kan kanseri
PARA,Nakit; akçe
STEP,Bozkır
SOMUN,Yuvarlak ve şişkin ekmek
AZAR,Paylama
KÖRE,Karınca yuvası
NİHALE,Sofrada kullanılan sahan altlığı
TALİMAT,Direktif
LATİFE,Şaka
ÇANKIRI,Bir ilimiz
ITIR,Güzel kokulu bir çiçek
AMCA,Babanın erkek kardeşi
KAŞE,Damga; mühür
PERMA,Saçların uzun süre dalgalı kalmasını sağlamak için uygulanan işlem
YAREN,Arkadaş
ÇEKMEKÖY,İstanbul’un bir ilçesi
RANA,Güzel; pekiyi
ILICA,Kaplıca; çermik; kudret
ROTA,Uçağın veya geminin izlediği yol
DAMA,Bir zeka oyunu
ARMAĞAN,Hediye
LOTUS,Nilüfer cinsinden birçok bitkiye verilen genel ad
İBİS,Mısır turnası
İRSEN,Kalıtım yoluyla
ANAKÖK,Tohumun çimlenmesinden sonra kökçüğün toprağa dalarak gelişmesi sonucu oluşan ilk kök
LİKİT,Sıvı; akışkan
OBUR,Gereğinden çok yemek yiyen; doymak bilmeyen (kimse)
TİMSAH,Bir hayvan
ENİR,Bir tür yabanmersini
KULE,Cihannüma
AMATÖR,Profesyonel olmayan
AKALA,Bir tür pamuk
GEZELEME,Gelin ve damadın düğünden sonra akrabalarına yaptıkları ziyaret
MİRAS,Kalıt
LOKUM,Bir şekerleme çeşidi
ORAN,Nispet
RİNİT,Burun iltihabı
İCAT,Buluş
SENE,Yıl
STERİL,Her çeşit mikroorganizmadan arınmış; aseptik
GALERİ,Sanat eserlerinin sergilendiği salon
EFOR,Çaba; güç
KARATE,Ayak ve yumruk vuruşları üzerine kurulu bir dövüş yöntemi
LİMON,Turunçgillerden bir ağaç ve bu ağacın sarı renkli; kabuğu kokulu; suyu ekşi meyve
RİMEL,Kirpik boyası
MARATON,En uzun yol koşusu
ESEN,Sağlıklı; sıhhatli; salim
KARAYAZI,Erzurum’un bir ilçesi
AMELİYAT,Cerrahî müdahale
LAHİT,Taştan oyma mezar
İMAR,Bayındırlık
AKIN,Hücum; saldırı
TASARI,Proje
ERİK,Bir meyve
KALAMATA,Etli ve büyük bir zeytin çeşidi
AMADE,Bir işi yapmaya hazır
REHA,Kurtuluş; kurtulma
YİTİK,Kayıp; zayi
MISIR,Afrika’da bir ülke
ZAMANE,(Mecazi olarak) Şimdiki zaman
SEMAVER,Çay demlemekte kullanılan kömür ve odun yakacak ocağı kendi içinde bulunan; elektrikle de çalışabilen bakır; pirinç vb.den yapılmış musluklu kap
EKİM,Bir ay
MİZAN,Terazi
HAVANA,Küba’nın başkenti
HARAM,Helal karşıtı
DAMA,Bir zekâ oyunu
KARAYER,Mezar; kabir; gömüt
SEMAFOR,Demiryollarında gündüz mekanik olarak kırmızı bir kolla gece kırmızı ışıkla işaret veren alet
EKİN,Kültür
MİZAH,Gülmece
NEVADA,ABD’de bir eyalet
SARAY,Tekirdağ’ın bir ilçesi
MESELE,Sorun
BENEK,(Kumaşta) Puan; nokta
DEREKE,Aşağı derece
ESARET,Tutsaklık
EMEK,Bir iş için harcanan beden ve kafa gücü
NEŞET,“... Ertaş” (Unutulmaz sanatçı)
MESİRE,Gezinti yeri
EREN,Veli; evliya
BEREN,“... Saat” (Aktris)
TEREKE,Bırakıt
İLEK,İncir sineği
KESAT,Alışverişte durgunluk
KALLİOPE,Yunan mitolojisinde güzel sanatların dokuz perisinden biri
ARTİSTİK,Doğal olmayan; eğitimle elde edilen gövde hareketlerinin tümü
MİLLİ,Ulusal
KISA,Uzun karşıtı
MATARA,Askerin su kabı
EDEBİYAT,Yazın; literatür
KARAKÖSE,Ağrı’nın eski bir adı
ESEME,Mantık
İSİM,Ad
OTLAK,Hayvan otlatılan yer; mera
TURA,Madeni paranın resimli yüzü
EKİP,İşçilerin oluşturduğu takım
ARAÇ,Vasıta
MAYIS,Bir ay
İRİN,Cerahat
FİNAL,Elemeli yarışmalarda sonucu belirten karşılaşma
RAKİK,(Mecazi olarak) Merhametli; yufka yürekli
SAMANİ,Saman rengi; açık sarı
UMUT,Ummaktan doğan güven duygusu; ümit
MAMAK,Başkentimizin bir ilçesi
İRAN,Komşu bir ülke
ZAYIF,(İnsan; hayvan için) Sıska; cılız; arık
İRAT,Gelir
SİNAN,“... Çalışkanoğlu” (Komedi oyuncusu)
RAKİP,Herhangi bir işte; bir yarışta; birbirini geçmeye çalışan; aynı şeyi elde etmeye uğraşan (kimse)
ASALET,Soyluluk
ARAMAK,Bulmaya çalışmak
BARAN,Bağda omça sırası
ADAM,Erkek kişi
TELEME,Peynir mayasıyla kestirilmiş sütten yapılan süzülmemiş peynir
YILAN,Sürüngen bir hayvan
ASABİYET,Sinirlilik
SARAY,Tekirdağ’ın ilçelerinden biri
AKARET,Kiraya verilerek gelir getiren ev; dükkân; tarla; bağ vb. mülk
LAMA,Güney Amerika’nın dağlık bölgelerinde yaşayan; yük taşımakta kullanılan hayvan
ANALIK,Üvey ana
DELİ,Mecnun
SAMAN,Ekin saplarının harmanda parçalanmışı
MENEMEN,İzmir’in ilçelerinden biri
MANİVELA,Kaldıraç
ALİL,Hastalıklı; sakat
NAHİYE,Bucak
ELİF,“... Şafak” (Yazar)
SALAŞ,Tahtadan yapılmış baraka
AMELİYAT,Cerrahi müdahale; operasyon
EKİN,Tahılın tarlaya atıldığı andan harman oluncaya kadar aldığı duruma verilen ad
MANİSA,Bir ilimiz
ALALAMAK,Kamufle etmek
YEŞİM,“... Salkım” (Şarkıcı; oyuncu)
EMEL,“... Müftüoğlu” (Şarkıcı; oyuncu)
İRADİ,İradeli; istençli
ARİF,“... Sağ” (Halk müziği sanatçısı; bağlama virtüözü)
SİLİK,Kendini gösteremeyen; dikkati çekmeyen veya önemli ve belirli olmayan
ASİLİK,İsyankârlık
LAPA,Nişastalı tanelerin; su ile kaynatılarak bulamaç kıvamına getirilmiş durumu
İMİK,Boğaz; gırtlak
TATAR,Posta sürücüsü
VENEDİK,İtalya’da bir şehir
PATA,Oyunda berabere kalma
VEREV,Bir köşeden karşı köşeye doğru kesilmiş; katlanmış veya konulmuş olan
SAKİN,Kimseyi rahatsız etmeyen; kızgınlık göstermeyen
LİMİTET,Sınırlandırılmış; sınırlı
TEPE,Bir şeyin en üstteki bölümü
KASADAR,Ticarî kuruluşlarda kasada oturup para alıp veren kimse
PARİTE,İki ülke parasının karşılıklı değeri
AYAZ,Kuru soğuk
ARENA,Boğa güreşi yapılan alan
BALİNA,Okyanuslarda yaşayan memeli bir hayvan
İZAN,Anlayış
DİBA,Altın ve gümüş işlemeli ipek kumaş
AZERİ,Azerbaycan halkından olan
UŞAK,Bir ilimiz
ABİDE,Anıt
RADİ,Süt kardeşi
ELEBAŞI,Kötü; olumsuz iş veya hareketlerde önder olan kimse; sergerde
EKİP,Görev bakımından birbirini tamamlayan kimselerin topluluğu
ATİNA,Yunanistan’ın başkenti
HUNİ,Bir sıvıyı ağzı dar bir kaba aktarmak için kullanılan koni biçimindeki araç
PARİS,Fransa’nın başkenti
DEDE,Büyükbaba
AHİT,Antlaşma
BİKİNİ,İki parçadan oluşan kadın mayosu
YALIN,Sade
RUAM,Sakağı
TRABZON,Bir ilimiz
RUHİ,Ruhsal
JİKLE,Motorlu taşıtların yüksek devirde çalışması için fazla benzin akışını sağlayan alet
RESİTAL,Dinleti
AZIK,Yiyecek; besin; gıda
SELAM,Esenleme
KÖSTEBEK,Toprak altında oyduğu yuvalarda yaşayan; gözleri hemen hemen hiç görmeyen; sokur olarak da bilinen hayvan
OKUL,Mektep
ÜREM,Faiz; nema
ZEKA,Anlak; dirayet; feraset
NİNE,Büyükanne
NAÇAR,Çaresiz
KORTİZON,Böbrek üstü bezinin korteksinden salgılanan hormon
SUNMAK,Takdim etmek
BARİTON,Tenor ve bas arasındaki erkek sesi
EDEBİYAT,Yazın
BANADURA,Domates
EVET,Bir doğrulama veya onaylama sözü
ÇAKIL,Küçük veya orta boyda taş parçası
EYALET,Bağımsızlığı olan büyük il
MAYA,Ferment
EBEDİYET,Sonsuzluk
DAVETİYE,Çağrı kâğıdı
ENEK,Yanağın alt kısmı
HAKEM,Maçı yöneten kimse
YUNAK,Hamam
LİMA,Peru’nun başkenti
BEYİNCİK,Kafatasının art bölümünde ve beynin altında; hareket dengesi merkezi olan organ; dimağçe
ODAK,Mihrak
LEZAR,İşlenmiş kertenkele derisi
KELEME,Bakımsız bırakılmış bağ veya bahçe
YURT,Vatan
İZAHAT,Açıklamalar
BOLİVYA,Güney Amerika’da bir ülke
EDER,Paha; fiyat
KRİZ,Buhran; bunalım
İKAMET,Bir yerde oturma; eğleşme
KAYSERİ,Bir ilimiz
PANORAMA,Genel görünüm
EREZ,Acıbadem ağacı
RAKAM,Sayıları göstermek için kullanılan işaretlerden her biri
SONE,İki dörtlü ve iki üçlüden oluşan; on dört dizeli bir batı şiir türü
NARDENK,Nar pekmezi
ANTİKOR,Hastalık etkenlerini zararsız duruma getirmek için vücudun çıkardığı madde
PERVANE,Geceleri ışık çevresinde dönen küçük kelebek
NEKTAR,Yunan mitolojisinde; içenleri ölümsüzlüğe kavuşturan tanrı içkisi
OZAN,Şair
SECİ,Nesirde yapılan kafiye
KONAK,İzmir ilimizin ilçelerinden biri
MİHENK,Denek taşı
AMELE,İşçi; emekçi
OBUR,Gereğinden çok yemek yiyen; doymak bilmeyen
GAMET,Erkek veya dişi üreme hücresi
ATAK,Gol atmak veya sayı kazanmak amacıyla yapılan hücum; akın
KAYA,Büyük ve sert taş kütlesi
UTAH,ABD’de bir eyalet
MOGADİŞU,Somali’nin başkenti
EBAT,Boyutlar
NUMARA,Bir şeyin bir dizi içindeki yerini gösteren sayı; rakam
EREK,Amaç; gaye
NEFASET,Nefis olma durumu
KASATURA,Süngü gibi; tüfeğin namlusu ucuna takılan veya bel kayışına asılı olarak taşınan bir çeşit bıçak
EKABİR,Devlet büyükleri
KAFA,Baş; ser
KESENEK,Görevlilerin aylıklarından her ay belli oranda kesilip bir sosyal güvenlik kurumuna yatırılan para
ALAKADAR,İlgili
SİMA,Yüz; çehre; surat
BABA,Peder
MİNİ,Küçük
UMAR,Çare
PARA,Devletçe bastırılan; üzerinde saymaca değeri yazılı kâğıt veya metalden ödeme aracı
ASALETEN,Bir görevde temelli olarak; asıl olarak; vekâleten karşıtı
TİPOLOJİ,İnsan tiplerini belirleme ve ayırt etme yöntemi
İLAVE,Ek
REHAVET,Vücutta görülen gevşeklik; tembellik
ŞAHIS,Kimse; kişi; zat
MAKİ,Akdeniz bitki örtüsü
TİRAT,Tiyatro oyununda oyuncuların bir defada söylediği parça
İLETİŞİM,Haberleşme
PAHA,Eder; fiyat
LEVAZIM,Ordunun lojistik hizmetinde bulunan bütün malzeme veya bu malzemeyi sağlayan bölüm
JETON,“... geç düşmek” (Konuşulan veya sözü edilen konuyu geç anlamak)
TİTİZ,Temizliğe aşırı düşkün olan
ÇORUM,Bir ilimiz
İTAP,Paylama; azarlama
KAMAROT,Gemilerde yolcuların hizmetine bakan görevli
DİREY,Belli bir bölgede yetişen hayvanların tümü; fauna
RIZA,Razı olma; isteme; istek
LEMAN,“Sam” soyadlı ünlü şarkıcımızın adı
MODA,Değişiklik ihtiyacı veya süslenme özentisiyle toplum yaşamına giren geçici yenilik
UKALA,Bilgiçlik taslayan
ÇUKUR,Çevresine göre aşağı çökmüş olan (yer)
OLASILIK,İhtimal
ZEKA,Anlak
MİRİ,Devlet hazinesi
TORİNO,İtalya’da bir kent
MATEM,Yas
YAŞAM,Ömür; hayat
ADAY,Namzet
BELA,İçinden çıkılması güç; sakıncalı durum
ALATAV,Az tavlı
KESE,Küçük torba
ALAY,Askeri bir birlik
DAKİKA,Saatin altmışta biri
AYAR,Değer derecesi
SELE,Bisikletin oturulan yeri
ABANA,Kastamonu’ya bağlı bir ilçe
DELİL,Kanıt
SAKAL,Bazı hayvanlarda çene altında bulunan kılların tümü
SUİKAST,Bir devlet büyüğünü veya önemli bir kişiyi plan kurarak öldürme
AĞRI,Bir ilimiz
PUSMAK,Bir şeyi kendine siper edip saklanmak
TIMAR,Binek hayvanlarının kıllarını; derisini temizleme
NARMAN,Erzurum’un bir ilçesi
DAHİ,Olağanüstü yeteneği ve yaratıcı gücü olan (kimse)
NİAMEY,Nijer’in başkenti
SAPLANTI,Fikrisabit; idefiks
UĞUT,Çimlenmiş buğdayın kaynatılmasıyla yapılan bir çeşit yemek
TREN,Demiryolu katarı
KIMKIM,Ağır ağır konuşan
ARMADA,Donanma
ANAM,“Ağlarsa ... ağlar; gerisi yalan ağlar” (Atasözü)
SEHER,Tan ağartısı
ESER,Yapıt
MEZAR,Kabir; sin
EFEMİNE,Kadın gibi davranan ve kılık kıyafet bakımından kadına özenen erkek
YİYİCİ,Rüşvet alan
BALA,Yavru; çocuk
BİTİK,Yorgunluk veya hastalıktan gücü kalmamış
SEMER,Eşek; katır gibi hayvanların sırtına yerleştirilen; üzerine yük bağlanan veya binilen; iskeleti ağaçtan yastık
ESEF,Acınma; yerinme
HEZEYAN,Bazı hastalıklarda görülen abuk sabuk konuşma; anlamsız davranışlarda bulunma gibi belirtiler gösteren ruh bozukluğu
ERAMİL,Dullar
RİYAZİ,Riyaziyeyle ilgili
GECECİ,Çalışma sırası geceye rastlayan görevli
İNEK,Dişi sığır
ADANA,Bir ilimiz
NASİHAT,Öğüt
DUMAN,Bir rock müzik grubu
İRADE,Bir şeyi yapıp yapmamaya karar verme gücü
ULUS,Millet
NADİDE,Az görülür; görülmedik; seyrek görülen; çok değerli
EĞRİ,Doğru; düz olmayan; bir noktasında yön değiştiren; çarpık
İNCE,Kalın karşıtı
DAKİKA,Bir zaman ölçüsü birimi
RADAR,Radyo dalgalarının yankısını alarak cisimlerin yerini ve uzaklığını bulabilen; genellikle uçak ve gemilerde kullanılan cihaz
NİDA,Ünlem
AHUDUDU,Ağaççileği
NİSPET,Oran
CESARET,Güç veya tehlikeli bir işe girişirken kişinin kendinde bulduğu güven
NARA,Haykırma; bağırma
ARAKA,İri taneli bezelye
İLİK,Kemiklerin iç boşluklarını dolduran yağlı madde
KERATA,Ayakkabı çekeceği
RİVAYET,Söylenti
CANAVAR,Masallarda adı geçen yabani; yırtıcı hayvan
ESARET,Tutsaklık; esirlik
SARA,Yilbik; tutarık; tutarga
AKİRA,“... Kurosawa” (Japon sinemasının unutulmaz yönetmeni)
SADAKAT,İçten bağlılık
COĞRAFYA,Bir yeryüzü parçasını; bir bölgeyi; bir ülkeyi belirleyen; niteleyen; fiziki; ekonomik; beşeri; siyasi gerçekliklerin tümü
ATAOL,“... Behramoğlu” (Şair; yazar)
RASTIK,Kadınların kaşlarını veya saçlarını boyamak için sürdükleri siyah boya
KELİK,Eski ayakkabı
IRAK,Ortadoğu’da bir ülke
RİMİNİ,İtalya’da bir kent
İMLA,Yazım
CURCUNA,Alaturka müzikte hızlı bir usul
SKOR,Müsabakanın sonucu
RATE,Yaşlı; geçimsiz; verimsiz
ATILIM,Hamle
FAKİRİZM,Hint dervişliği
KANAL,İki kıyı arasındaki dar ve derin deniz
BÖRK,Hayvan postundan yapılan başlık
ANAKARA,Kıta
KARANFİL,Bir çiçek
UFKİ,Yatay
MARİA,“... Sharapova” (Tenisçi)
EKLEM,Mafsal
YAKAMOZ,Denizde balıkların veya küreklerin kımıldanışıyla oluşan parıltı
ZARURİ,Mecburi; zorunlu
KAFİLE,Birlikte yolculuk eden topluluk
BANKA,Faizle para alıp veren; kredi; ıskonto; kambiyo işlemleri yapan; kasalarında para; değerli belge; eşya saklayan ve daha başka ekonomik etkinliklerde bulunan kuruluş
ÖRFİ,Örfle ilgili
ELEM,Acı; üzüntü; keder
LOKUM,Bir tür şekerleme
RİYAZİYE,Matematik
YAŞAM,Hayat
AYNA,Varlıkların görüntüsünü veren sırlı cam
ARKA,Geri; art; peş
RİNA,Tırpana balığı
REVANİ,Yumurta ve irmikle yapılan; fırında kabarıp piştikten sonra üzerine şerbet dökülen bir tür tatlı
AYVALIK,Balıkesir’in bir ilçesi
YABAN,İnsan yaşamayan ıssız yer
HOBİ,Düşkü; aşırı ölçüde uğraşı alanı
LÜNET,Gözlük camı
GÜLSEREN,“... Akdaş” (“Küstüm Çiçeği” adlı kitabın yazarı; şair)
